Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Primary education,None,None,None,None,None,None,Percent,73.6609
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Primary education,None,None,None,None,None,None,Percent,80.72852
2012,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Primary education,None,None,None,None,None,None,Percent,92.55903
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Primary education,None,None,None,None,None,None,Percent,92.18524
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Primary education,None,None,None,None,None,None,Percent,93.58152
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Primary education,None,None,None,None,None,None,Percent,94.42307
2016,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Primary education,None,None,None,None,None,None,Percent,97.01081
2017,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Primary education,None,None,None,None,None,None,Percent,97.27852
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Primary education,None,None,None,None,None,None,Percent,97.29106
2000,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,32.64496
2002,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,27.8769
2003,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,25.79545
2007,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,46.44517
2008,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,52.34563
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,57.18224
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,63.57534
2012,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,77.28054
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,79.4082
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,79.90049
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,80.57996
2016,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,89.16155
2017,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,89.48284
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,85.40235
2008,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,63.87043
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,72.30339
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,74.26403
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,80.09283
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,80.45373
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,83.03045
2016,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,91.6417
2017,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,88.00995
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,None,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,81.30517
2008,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,59.93582
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,66.6097
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,70.27995
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,78.61703
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,79.03334
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,80.30926
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,78.04125
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,82.81864
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,84.79599
2012,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,88.54082
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,91.2591
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,91.53719
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,92.90178
2016,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,92.47426
2017,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,92.98749
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,88.53509
2001,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,13.57287
2002,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,12.23646
2003,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,13.4933
2004,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,14.78665
2005,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,27.04473
2007,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,56.84566
2008,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,65.69982
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,72.44695
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,79.85137
2012,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,92.3143
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,91.91172
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,93.09656
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,94.12056
2016,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,97.23556
2017,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,97.49373
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Primary education,None,None,None,None,None,None,Percent,95.95972
2000,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,33.40381
2002,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,26.17647
2003,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,21.81493
2007,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,51.7083
2008,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,57.06291
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,61.81324
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,63.85623
2012,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,76.23149
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,78.15193
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,78.71591
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,79.58293
2016,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,89.71856
2017,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,90.0563
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Lower secondary education,None,None,None,None,None,None,Percent,81.19802
2008,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,64.54208
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,75.64443
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,79.9419
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,79.30225
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,79.4983
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,81.37017
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Female,None,None,None,Upper secondary education,None,None,None,None,None,None,Percent,73.36717
2008,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,57.90844
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,64.74209
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,68.83939
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,80.08941
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,80.51591
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,82.31535
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Secondary education (lower and upper secondary education),None,None,None,None,None,None,Percent,84.93106
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,67.63042
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,74.23816
2012,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,51.03832
2013,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,46.41623
2014,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,41.00939
2015,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,38.48179
2016,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,51.64693
2017,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,51.33333
2019,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Pre-primary education,None,None,None,None,None,None,Percent,43.53141
2001,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,15.98025
2002,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,15.50836
2003,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,17.32423
2004,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,18.45493
2005,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,32.00829
2007,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,63.48852
2008,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,66.84136
2010,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,74.45764
2011,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,81.37018
2012,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,,Male,None,None,None,Primary education,None,None,None,None,None,None,Percent,92.73804
