Year,SDG Series,Unit of measure,Value
2015,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",33.74004
2016,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",1.74806
2017,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",1.9323
2018,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",1.66673
2019,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",1.85258
2005,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,2156.0
2006,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,46363.0
2007,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,7985.0
2008,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,17898.0
2009,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,49702.0
2010,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,153066.0
2011,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,3334.0
2012,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,3983.0
2013,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,1918.0
2014,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,120514.0
2015,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,1479914.0
2016,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,5980.0
2017,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,805169.0
2018,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,9187.0
2019,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,33551.0
2005,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,54.0
2006,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,247335.0
2007,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,19634.0
2008,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,304190.0
2009,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,132266.0
2010,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,37947.0
2011,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,3167.0
2012,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,13952.0
2013,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,12849.0
2014,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,194283.0
2015,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,4936439.0
2016,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,61092.0
2017,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,93076.0
2018,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,39933.0
2019,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,123288.0
2005,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,5796.0
2006,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,10496.0
2007,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,51505.0
2008,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,87290.0
2009,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,20485.0
2010,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,29031.0
2011,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,7083.0
2012,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,20708.0
2013,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,11911.0
2014,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,48983.0
2015,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,3791246.0
2016,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,16744.0
2017,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,212613.0
2018,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,12233.0
2019,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,24110.0
